DIRECTORIO	SECUENCIA_ENCUESTA	SECUENCIA_P	ORDEN	P6160	P8586	P6218	P8587	P8587S1	P6211	P5455	P1088	P1088S1	P6216	P5457	P5673	P5674	P6223	P1101	P5461	P5461S1	P5461S2	P5461S3	P4693	P6167	P6180	P6180S1	P6180S2	P8610	P8610S1	P8610S2	P6229	P6229S1	P8612	P8612S1	P8612S2	P6238	P8614	P8614S1	P8614S2	P6202	P781	P781S1	P781S2	P782	P783	LLAVEHOG	FEX_C
6000015	7	1	7	1	1						7	3	2	1	1		1						4	10	2			2					2				2									60000151	2934.72190999767
6000016	1	1	1	1	2		3	2																																						60000161	1788.83434331794
6000016	2	1	2	1	2		5	11		1																																				60000161	1788.83434331794
6000016	3	1	3	2	2		1																																							60000161	1788.83434331794
6000017	1	1	1	1	2		5	11		1																																				60000171	1820.77727583771
6000019	1	1	1	1	2	9	7	2	2	2																																				60000191	2340.15072814838
6000019	2	1	2	1	2	9	5	11		1																																				60000191	2340.15072814838
6000019	3	1	3	1	1						2	4			1		1	2		1	2	2	3	15	2			2					2				2				1	5				60000191	2340.15072814838
6000019	4	1	4	1	1						2	1			1		1	2		1	2	2	3	15	2			2					2				2				1	5				60000191	2340.15072814838
6000019	5	1	5	1	2		3	5																																						60000191	2340.15072814838
6000019	6	1	6	1	1						4	11		1	1		1	1		1	2	2	3	20	2			2					2				2									60000191	2340.15072814838
6000020	1	1	1	1	2		13	5	12	1																																				60000201	2105.36514784542
6000020	2	1	2	1	2		9	4	4	3																																				60000201	2105.36514784542
6000021	1	1	1	1	2	15	10	5	5	1																																				60000211	2721.38696829907
6000022	1	1	1	1	2		3	5																																						60000221	108.46912925121
6000022	2	1	2	2	2		1																																							60000221	108.46912925121
6000023	1	1	1	1	2		3	2																																						60000231	91.5284162486736
6000024	1	1	1	1	2		5	11		1																																				60000241	91.5284162486736
6000025	1	1	1	1	2		3	1																																						60000251	172.746762963033
6000025	2	1	2	2	2		1																																							60000251	172.746762963033
6000025	3	1	3	1	1						3	6			1		2	1		2	2	2	4	15	1	0	2000	2					2				2				1	2				60000251	172.746762963033
6000025	4	1	4	2	2		1																																							60000251	172.746762963033
6000025	5	1	5	1	2		3	4																																						60000251	172.746762963033
6000025	6	1	6	2	2		1																																							60000251	172.746762963033
6000026	1	1	1	1	2		4	9																																						60000261	214.96401688913
6000026	2	1	2	1	2	3	7	2	2	3																																				60000261	214.96401688913
6000026	3	1	3	1	1						2	2			1		1	2		2	2	2	4	15	2			2					1	60000	2	3	2				1	2				60000261	214.96401688913
6000027	1	1	1	1	2		4	6																																						60000271	273.77427720977
6000027	2	1	2	1	2		3	5																																						60000271	273.77427720977
6000027	3	1	3	1	1						3	9			1		2	5		2	2	2	4	15	2			2					2				2									60000271	273.77427720977
6000027	4	1	4	1	1						2	5			1		2	1		2	2	2	4	10	2			2					2				2				1	2				60000271	273.77427720977
6000027	5	1	5	2	2		1																																							60000271	273.77427720977
6000027	1	2	1	1	2	3	5	11		1																																				60000272	273.77427720977
