"DIRECTORIO","CANT_HOG_COMPLETOS","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN","P1070","P4005","P4015","P4567","P8520","P8520S1","P8520S1A1","P8520S3","P8520S4","P8520S4A1","P8520S5","P4065","P4065S1","P4065S2","P4065S3","P4065S4","P5661","P5661S1","P5661S2","P5661S3","P5661S4","P5661S5","P5661S6","P5661S7","P5661S9","P1891","P1891S1","P1891S2","P1891S3","P1891S4","P1891S5","P1_DEPARTAMENTO","FEX_C","CLASE"
6000071,1,1,1,1,1,1,6,4,1.79769313486232e+308,1,1,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,3,2,2,2,2,3,1,1.79769313486232e+308,2,2,2,2,2,"81",282.716162215482,1
6000072,1,1,1,1,1,1,4,4,1.79769313486232e+308,1,1,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,4,1,2,1,1,4,2,1,1.79769313486232e+308,2,2,2,2,2,"81",310.654044424003,1
6000073,1,1,1,1,1,1,6,4,1.79769313486232e+308,1,1,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,2,2,2,1,1,2,2,1,1.79769313486232e+308,2,2,2,1,2,"81",246.492172233645,1
6000074,1,1,1,1,1,1,6,4,1.79769313486232e+308,1,1,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,2,2,1,1,2,1,1.79769313486232e+308,1,1,2,1,1,"81",522.094937187259,1
6000075,1,1,1,1,1,1,4,4,1.79769313486232e+308,1,1,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,4,2,2,1,1,2,1,1,1.79769313486232e+308,1,2,2,2,2,"81",445.602682790059,1
6000076,1,1,1,1,2,1,4,4,1.79769313486232e+308,1,1,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,2,2,1,2,2,1,1.79769313486232e+308,2,2,2,2,2,"81",246.492172233645,1
6000077,1,1,1,1,1,8,6,4,1.79769313486232e+308,1,1,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,2,2,1,1,2,2,1,1.79769313486232e+308,2,2,2,2,2,"81",445.602682790059,1
6000079,1,1,1,1,1,1,4,4,1.79769313486232e+308,1,1,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,2,2,1,1,1,2,2,1,1.79769313486232e+308,2,2,2,2,2,"81",310.654044424003,1
6000080,1,1,1,1,1,8,6,4,1.79769313486232e+308,1,1,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,2,2,1,1,2,2,1,1.79769313486232e+308,2,2,2,2,2,"81",246.492172233645,1
6000082,1,1,1,1,1,1,6,4,1.79769313486232e+308,1,1,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,2,2,1,1.79769313486232e+308,2,1,1,1,2,"81",395.702168739047,1
6000083,1,1,1,1,2,1,6,4,1.79769313486232e+308,1,1,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,4,1,1,1,1,1,1,1,1.79769313486232e+308,2,1,2,2,2,"81",246.492172233645,1
6000084,1,1,1,1,2,1,6,4,1.79769313486232e+308,1,1,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,2,2,1,1,1,2,2,1,1.79769313486232e+308,2,2,2,2,2,"81",246.492172233645,1
6000085,1,1,1,1,1,1,4,4,1.79769313486232e+308,1,2,1,1,3,2,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,2,2,1,1.79769313486232e+308,2,2,2,2,2,"81",616.477853951912,1
6000086,1,1,1,1,1,1,4,3,1.79769313486232e+308,1,2,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,1,1,1,1.79769313486232e+308,2,2,2,2,2,"81",873.318521299814,1
6000087,1,1,1,1,1,1,4,4,1.79769313486232e+308,1,2,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,2,2,1,1.79769313486232e+308,2,2,2,2,2,"81",304.57616603319,1
6000088,1,1,1,1,1,1,4,4,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,2,2,1,1,2,2,1,1.79769313486232e+308,2,2,2,2,2,"81",421.91020140746,1
6000089,1,1,1,1,1,1,4,3,1.79769313486232e+308,1,3,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,1,1,2,1.79769313486232e+308,1,1,1,2,1,"81",475.898369796805,1
6000090,1,1,1,1,1,1,4,3,1.79769313486232e+308,1,2,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,1,2,1,1.79769313486232e+308,2,1,1,2,2,"81",393.201353486926,1
6000091,1,1,1,1,1,4,5,2,1.79769313486232e+308,1,2,2,1,1,1,1.79769313486232e+308,2,2,2,1,1.79769313486232e+308,1,2,1,2,3,1,2,3,1.79769313486232e+308,2,2,1,2,1,"17",1570.98855946625,2
6000092,1,1,1,1,1,1,4,3,1.79769313486232e+308,1,1,2,1,1,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,1,2,1,1.79769313486232e+308,2,2,2,2,2,"17",300.990370341052,2
6000093,1,1,1,1,1,3,4,2,1.79769313486232e+308,1,2,2,1,1,1,1.79769313486232e+308,1,2,2,2,1.79769313486232e+308,1,1,1,1,1,1,1,1,1.79769313486232e+308,2,1,2,1,1,"17",183.311468925452,2
