DIRECTORIO	SECUENCIA_ENCUESTA	SECUENCIA_P	ORDEN	P5000	P5010	P5016	P5016S2	P5016S3	P5016S4	P5016S5	P5016S6	P5666	P8526	P5022	P5024	P5030	P1892	P1892S1	P1892S2	P1892S3	P1892S4	P1893	P5041	P5046	P5046S1	P5046S1A1	P5046S1A2	P5046S1A3	P5046S1A4	P5046S1A5	P5046S1A6	P5046S1A7	P5012	P5012S1	P5012S2	P5012S3	P5012S4	P5012S5	P5012S6	P5012S7	P5012S8	P8530	P5047	P5069	P764	P8534	P8536	P1698	P1698S1	P5305	LLAVEHOG	FEX_C	CANT_PERSONAS_HOGAR	I_HOGAR	I_UGASTO	PERCAPITA	I_OU
6000091	1	1	1	4	3				1			1	2	2	1	1		1	1	1		1	1	2										1	1	2	2	2	1	2	1	2	2	4	1		2	1	6	2	60000911	1570.98855946625	6	1046000	1046000	174333.333333333	0
6000092	1	1	1	2	1						1	1	3	1	1	1		1	1	1		1	1	2										1	1	1	1	2	2	2	1	2	1	2	1		2	2		2	60000921	300.990370341052	2	1560833.33333333	1560833.33333333	780416.666666667	0
6000093	1	1	1	3	1				1			1	2	1	1	1		1	1	1		1	1	1		1	1	1	1	1	1			1	1	1	1	2	2	2	1	2	1	2	1		2	2		2	60000931	183.311468925452	2	580000	580000	290000	0
6000094	1	1	1	3	1				1			1	3	2	1	1			1	1		1	1	2										1	1	1	2	2	2	2	2	2	1	1	1		2	2		2	60000941	389.344186434948	1	116666.666666667	116666.666666667	116666.666666667	0
6000095	1	1	1	4	1				1			1	2	1	1	1		1	1	1		1	1	1			1		1					1	1	2	2	2	2	2	1	2	1	2	1		2	1	6	2	60000951	253.981682102522	1	500000	500000	500000	0
6000096	1	1	1	4	2				1			2	1	1	2	1		1	1	1		1	1	2										1	1	1	1	2	1	2	1	1	1	2	1		4	2		2	60000961	1261.09006512301	3	1691666.66666667	1691666.66666667	563888.888888889	0
6000097	1	1	1	4	3				1			2	1	1	2	1		1	1	1		1	1	2										1	1	1	2	2	1	2	1	1	1	4	1		4	2		1	60000971	922.477654836313	3	3656383.66666667	3656383.66666667	1218794.55555556	0
6000098	1	1	1	2	1						1	2	1	1	1	1		1	1	1		1	1	2										1	1	1	2	2	1	2	1	1	1	6	1		4	2		2	60000981	1567.14204062307	3	9916666.66666667	9916666.66666667	3305555.55555556	0
6000099	1	1	1	5	4						1	1	1	1	1	1		1	1	1		1	1	2										1	1	1	2	2	2	2	2	1	1	1	1		2	2		2	60000991	1185.50488363538	6	2108333.33333333	2108333.33333333	351388.888888889	0
6000100	1	1	1	2	2						1	1	1	1	1	1		1	1	1		1	1	2										1	1	1	1	2	2	2	1	1	1	2	1		2	2		2	60001001	1567.14204062307	3	3323750	3323750	1107916.66666667	0
6000101	1	1	1	4	2					1		2	1	1	1	1		1	1	1		1	1	2										1	2	2	2	2	2	2	2	1	1	2	1		4	2		1	60001011	1418.64779595075	2	653333.333333333	653333.333333333	326666.666666667	0
6000102	1	1	1	5	1						1	1	1	1	1	1		1	1	1		1	1	2										1	1	1	1	2	1	2	1	1	1	2	1		2	2		2	60001021	1340.87732809188	1	400000	400000	400000	0
6000103	1	1	1	4	4		1					1	1	1	1	1		1	1	1		1	1	2										1	1	2	2	2	2	2	2	1	1	2	1		2	2		2	60001031	1290.32442707602	6	2516092.08333333	2516092.08333333	419348.680555556	0
6000104	1	1	1	4	2		1					1	1	1	2	1		1	1	1		1	1	1		1	1	1	1	1	1			1	1	1	2	1	1	2	1	1	1	4	3		2	2		2	60001041	732.857025260771	3	491666.666666667	491666.666666667	163888.888888889	0
6000105	1	1	1	4	1				1			1	1	1	2	1		1	1	1		1	1	1		1		1		1		1		1	2	2	1	1	1	2	2	1	1	2	1		2	2		2	60001051	1110.39743269221	1	450000	450000	450000	0
6000106	1	1	1	4	3				1			1	1	1	1	1		1	1	1		1	1	2										1	2	2	2	2	2	2	1	1	1	2	1		2	2		1	60001061	1142.58376120667	7	2505000	2505000	357857.142857143	0
6000107	1	1	1	3	1				1			2	1	1	1	1			1	1		1	1	2										2	1	2	2	2	2	2	2	1	1	2	1		4	2		2	60001071	666.322576162612	2	135000	135000	67500	0
